,id_num,picture_num,race,Male,facial_hair,age,glasses,quality
289754_01M18.jpg,289754,1,W,1,,2,,GOOD
104440_02M40.jpg,104440,2,B,1,,24,,GOOD
173844_01M31.jpg,173844,1,B,1,,15,,GOOD
054298_02M44.jpg,54298,2,B,1,,28,,GOOD
307107_04M19.jpg,307107,4,B,1,,3,,GOOD
111973_03M35.jpg,111973,3,B,1,,19,,GOOD
318052_01M24.jpg,318052,1,B,1,,8,,GOOD
206266_00M26.jpg,206266,0,B,1,,10,,GOOD
293556_04M19.jpg,293556,4,W,1,,3,,GOOD
309987_04M18.jpg,309987,4,B,1,,2,,GOOD
318501_01M27.jpg,318501,1,H,1,,11,,GOOD
080923_1F42.jpg,80923,1,B,-1,,26,,GOOD
320262_03F26.jpg,320262,3,B,-1,,10,,GOOD
137596_2M40.jpg,137596,2,B,1,,24,,GOOD
119392_28M36.jpg,119392,28,B,1,,20,,GOOD
076181_0M34.jpg,76181,0,B,1,,18,,GOOD
058958_1M42.jpg,58958,1,B,1,,26,,GOOD
326445_01M16.jpg,326445,1,W,1,,0,,GOOD
262297_00M23.jpg,262297,0,B,1,,7,,GOOD
162693_03M35.jpg,162693,3,B,1,,19,,GOOD
064316_5M41.jpg,64316,5,B,1,,25,,GOOD
074841_1M37.jpg,74841,1,W,1,,21,,GOOD
141918_05M43.jpg,141918,5,W,1,,27,,GOOD
061266_0M41.jpg,61266,0,W,1,,25,,GOOD
101492_1M38.jpg,101492,1,B,1,,22,,GOOD
257226_04M36.jpg,257226,4,B,1,,20,,GOOD
323236_01M23.jpg,323236,1,W,1,,7,,GOOD
233905_01M24.jpg,233905,1,B,1,,8,,GOOD
292973_01M21.jpg,292973,1,W,1,,5,,GOOD
176765_02M31.jpg,176765,2,B,1,,15,,GOOD
134328_2M31.jpg,134328,2,B,1,,15,,GOOD
143943_02M35.jpg,143943,2,B,1,,19,,GOOD
288774_01M21.jpg,288774,1,B,1,,5,,GOOD
081591_0M38.jpg,81591,0,W,1,,22,,GOOD
258330_01M22.jpg,258330,1,B,1,,6,,GOOD
340096_00F38.jpg,340096,0,W,-1,,22,,GOOD
301541_03M19.jpg,301541,3,B,1,,3,,GOOD
242642_01F28.jpg,242642,1,B,-1,,12,,GOOD
220611_00M24.jpg,220611,0,B,1,,8,,GOOD
047534_00M61.jpg,47534,0,W,1,,45,,GOOD
314419_03M17.jpg,314419,3,B,1,,1,,GOOD
344387_03M19.jpg,344387,3,B,1,,3,,GOOD
277971_01M21.jpg,277971,1,W,1,,5,,GOOD
330379_02M16.jpg,330379,2,B,1,,0,,GOOD
324095_00M26.jpg,324095,0,B,1,,10,,GOOD
066415_4M49.jpg,66415,4,B,1,,33,,GOOD
225305_02M27.jpg,225305,2,I,1,,11,,GOOD
319343_00M20.jpg,319343,0,B,1,,4,,GOOD
125724_1M33.jpg,125724,1,B,1,,17,,GOOD
235420_05M39.jpg,235420,5,W,1,,23,,GOOD
095621_1M47.jpg,95621,1,B,1,,31,,GOOD
227623_02M40.jpg,227623,2,H,1,,24,,GOOD
087970_4F46.jpg,87970,4,W,-1,,30,,GOOD
111112_0M34.jpg,111112,0,B,1,,18,,GOOD
278244_09M20.jpg,278244,9,B,1,,4,,GOOD
323319_05M30.jpg,323319,5,B,1,,14,,GOOD
282233_00F19.jpg,282233,0,B,-1,,3,,GOOD
333854_05M53.jpg,333854,5,B,1,,37,,GOOD
071948_1F39.jpg,71948,1,B,-1,,23,,GOOD
054929_0M42.jpg,54929,0,B,1,,26,,GOOD
089444_0M36.jpg,89444,0,W,1,,20,,GOOD
039244_0M52.jpg,39244,0,B,1,,36,,GOOD
337938_04F20.jpg,337938,4,W,-1,,4,,GOOD
213889_00M36.jpg,213889,0,B,1,,20,,GOOD
209364_03M26.jpg,209364,3,B,1,,10,,GOOD
038339_0M51.jpg,38339,0,B,1,,35,,GOOD
057411_0M42.jpg,57411,0,B,1,,26,,GOOD
346106_00M26.jpg,346106,0,H,1,,10,,GOOD
052525_1M51.jpg,52525,1,B,1,,35,,GOOD
059562_7M44.jpg,59562,7,B,1,,28,,GOOD
047998_1M46.jpg,47998,1,B,1,,30,,GOOD
291694_02M38.jpg,291694,2,B,1,,22,,GOOD
233960_02F38.jpg,233960,2,B,-1,,22,,GOOD
122080_1M34.jpg,122080,1,W,1,,18,,GOOD
331797_01M35.jpg,331797,1,B,1,,19,,GOOD
044373_2M58.jpg,44373,2,B,1,,42,,GOOD
098762_00M36.jpg,98762,0,B,1,,20,,GOOD
089880_5F42.jpg,89880,5,B,-1,,26,,GOOD
212421_01M25.jpg,212421,1,B,1,,9,,GOOD
320143_01M20.jpg,320143,1,H,1,,4,,GOOD
291694_07M39.jpg,291694,7,B,1,,23,,GOOD
315183_01M18.jpg,315183,1,H,1,,2,,GOOD
106886_0M32.jpg,106886,0,B,1,,16,,GOOD
052179_03M47.jpg,52179,3,B,1,,31,,GOOD
261845_01M21.jpg,261845,1,B,1,,5,,GOOD
324200_02M22.jpg,324200,2,B,1,,6,,GOOD
186404_02M29.jpg,186404,2,W,1,,13,,GOOD
351849_01M16.jpg,351849,1,W,1,,0,,GOOD
335048_04M17.jpg,335048,4,B,1,,1,,GOOD
099538_12M54.jpg,99538,12,B,1,,38,,GOOD
223783_01M33.jpg,223783,1,W,1,,17,,GOOD
313017_01M26.jpg,313017,1,H,1,,10,,GOOD
121338_2M33.jpg,121338,2,W,1,,17,,GOOD
137863_06F37.jpg,137863,6,B,-1,,21,,GOOD
293174_02M45.jpg,293174,2,B,1,,29,,GOOD
291066_01M17.jpg,291066,1,B,1,,1,,GOOD
088187_0M34.jpg,88187,0,W,1,,18,,GOOD
133776_06M35.jpg,133776,6,W,1,,19,,GOOD
073613_01M45.jpg,73613,1,B,1,,29,,GOOD
251871_00M21.jpg,251871,0,B,1,,5,,GOOD
064060_3M43.jpg,64060,3,B,1,,27,,GOOD
224073_02M27.jpg,224073,2,W,1,,11,,GOOD
131553_11M41.jpg,131553,11,B,1,,25,,GOOD
312698_00F29.jpg,312698,0,W,-1,,13,,GOOD
251503_01M56.jpg,251503,1,B,1,,40,,GOOD
278244_06M20.jpg,278244,6,B,1,,4,,GOOD
324323_02M17.jpg,324323,2,B,1,,1,,GOOD
234741_04M25.jpg,234741,4,B,1,,9,,GOOD
327769_00M27.jpg,327769,0,B,1,,11,,GOOD
181249_00M31.jpg,181249,0,B,1,,15,,GOOD
135987_4M37.jpg,135987,4,W,1,,21,,GOOD
333854_04M53.jpg,333854,4,B,1,,37,,GOOD
331905_00M19.jpg,331905,0,W,1,,3,,GOOD
052346_4M46.jpg,52346,4,B,1,,30,,GOOD
247022_02M50.jpg,247022,2,W,1,,34,,GOOD
326588_01M16.jpg,326588,1,B,1,,0,,GOOD
330068_00M16.jpg,330068,0,B,1,,0,,GOOD
245101_00M24.jpg,245101,0,B,1,,8,,GOOD
320076_02F33.jpg,320076,2,B,-1,,17,,GOOD
117757_7M49.jpg,117757,7,B,1,,33,,GOOD
295011_00M21.jpg,295011,0,B,1,,5,,GOOD
154736_02M46.jpg,154736,2,B,1,,30,,GOOD
165637_02M33.jpg,165637,2,W,1,,17,,GOOD
332136_01M17.jpg,332136,1,B,1,,1,,GOOD
072755_3M36.jpg,72755,3,W,1,,20,,GOOD
332075_02M17.jpg,332075,2,W,1,,1,,GOOD
089269_04M47.jpg,89269,4,W,1,,31,,GOOD
348458_00M19.jpg,348458,0,W,1,,3,,GOOD
322762_01M18.jpg,322762,1,H,1,,2,,GOOD
260280_00M26.jpg,260280,0,B,1,,10,,GOOD
277786_02M24.jpg,277786,2,B,1,,8,,GOOD
325549_03M17.jpg,325549,3,B,1,,1,,GOOD
321950_02M43.jpg,321950,2,B,1,,27,,GOOD
183813_02M30.jpg,183813,2,B,1,,14,,GOOD
274801_02M31.jpg,274801,2,B,1,,15,,GOOD
061633_2M41.jpg,61633,2,B,1,,25,,GOOD
316148_00M52.jpg,316148,0,B,1,,36,,GOOD
284802_08M20.jpg,284802,8,B,1,,4,,GOOD
203608_02M27.jpg,203608,2,B,1,,11,,GOOD
122577_01M37.jpg,122577,1,B,1,,21,,GOOD
323917_00M17.jpg,323917,0,B,1,,1,,GOOD
326892_02M21.jpg,326892,2,B,1,,5,,GOOD
323250_01M29.jpg,323250,1,W,1,,13,,GOOD
305260_01M47.jpg,305260,1,B,1,,31,,GOOD
333234_00M40.jpg,333234,0,B,1,,24,,GOOD
189661_03M27.jpg,189661,3,B,1,,11,,GOOD
336098_01M39.jpg,336098,1,B,1,,23,,GOOD
216656_08M26.jpg,216656,8,B,1,,10,,GOOD
329342_02M43.jpg,329342,2,W,1,,27,,GOOD
063712_0M43.jpg,63712,0,B,1,,27,,GOOD
151659_01M49.jpg,151659,1,B,1,,33,,GOOD
302736_03M18.jpg,302736,3,W,1,,2,,GOOD
260467_08M24.jpg,260467,8,B,1,,8,,GOOD
319357_02F42.jpg,319357,2,W,-1,,26,,GOOD
213887_00F49.jpg,213887,0,W,-1,,33,,GOOD
269270_04M22.jpg,269270,4,B,1,,6,,GOOD
318958_00M18.jpg,318958,0,B,1,,2,,GOOD
119287_2M46.jpg,119287,2,W,1,,30,,GOOD
115566_0M36.jpg,115566,0,B,1,,20,,GOOD
325002_00M30.jpg,325002,0,H,1,,14,,GOOD
081360_2M44.jpg,81360,2,B,1,,28,,GOOD
127195_2M35.jpg,127195,2,W,1,,19,,GOOD
053429_02M51.jpg,53429,2,B,1,,35,,GOOD
215031_00M29.jpg,215031,0,B,1,,13,,GOOD
298528_02M36.jpg,298528,2,H,1,,20,,GOOD
107999_3F40.jpg,107999,3,B,-1,,24,,GOOD
114622_1M40.jpg,114622,1,B,1,,24,,GOOD
282941_05M19.jpg,282941,5,B,1,,3,,GOOD
203094_01M29.jpg,203094,1,B,1,,13,,GOOD
129870_0M46.jpg,129870,0,B,1,,30,,GOOD
276404_03M22.jpg,276404,3,B,1,,6,,GOOD
117751_2M35.jpg,117751,2,B,1,,19,,GOOD
111751_10M36.jpg,111751,10,B,1,,20,,GOOD
205454_00M26.jpg,205454,0,B,1,,10,,GOOD
215338_00M26.jpg,215338,0,B,1,,10,,GOOD
292025_00M22.jpg,292025,0,H,1,,6,,GOOD
144047_22M42.jpg,144047,22,W,1,,26,,GOOD
327255_00M20.jpg,327255,0,H,1,,4,,GOOD
058068_7M43.jpg,58068,7,B,1,,27,,GOOD
057588_6M45.jpg,57588,6,W,1,,29,,GOOD
289936_00M29.jpg,289936,0,W,1,,13,,GOOD
309868_02M20.jpg,309868,2,B,1,,4,,GOOD
340808_03M18.jpg,340808,3,H,1,,2,,GOOD
189971_04F37.jpg,189971,4,B,-1,,21,,GOOD
316936_02M21.jpg,316936,2,H,1,,5,,GOOD
343086_02M18.jpg,343086,2,B,1,,2,,GOOD
240315_00M23.jpg,240315,0,B,1,,7,,GOOD
119481_3M35.jpg,119481,3,W,1,,19,,GOOD
258418_01M25.jpg,258418,1,B,1,,9,,GOOD
088607_0M33.jpg,88607,0,B,1,,17,,GOOD
120173_0M33.jpg,120173,0,B,1,,17,,GOOD
239483_02M23.jpg,239483,2,B,1,,7,,GOOD
128981_00M50.jpg,128981,0,W,1,,34,,GOOD
071638_02F39.jpg,71638,2,B,-1,,23,,GOOD
222465_00M24.jpg,222465,0,B,1,,8,,GOOD
194602_02M27.jpg,194602,2,B,1,,11,,GOOD
083738_1M36.jpg,83738,1,W,1,,20,,GOOD
292055_05M21.jpg,292055,5,B,1,,5,,GOOD
285407_01M19.jpg,285407,1,B,1,,3,,GOOD
186579_01M43.jpg,186579,1,B,1,,27,,GOOD
309867_05M18.jpg,309867,5,B,1,,2,,GOOD
245392_00M24.jpg,245392,0,B,1,,8,,GOOD
313790_06M18.jpg,313790,6,B,1,,2,,GOOD
280062_01F26.jpg,280062,1,B,-1,,10,,GOOD
333857_04M16.jpg,333857,4,W,1,,0,,GOOD
200066_04M33.jpg,200066,4,B,1,,17,,GOOD
131274_6M34.jpg,131274,6,B,1,,18,,GOOD
120381_7M35.jpg,120381,7,B,1,,19,,GOOD
103243_5M37.jpg,103243,5,B,1,,21,,GOOD
321066_02M27.jpg,321066,2,W,1,,11,,GOOD
247095_00M24.jpg,247095,0,B,1,,8,,GOOD
063333_1M47.jpg,63333,1,B,1,,31,,GOOD
065696_1F48.jpg,65696,1,B,-1,,32,,GOOD
101053_01M37.jpg,101053,1,B,1,,21,,GOOD
165051_00M32.jpg,165051,0,B,1,,16,,GOOD
124223_03M38.jpg,124223,3,B,1,,22,,GOOD
085188_1F39.jpg,85188,1,B,-1,,23,,GOOD
061666_1M48.jpg,61666,1,W,1,,32,,GOOD
329573_01F19.jpg,329573,1,B,-1,,3,,GOOD
125460_4M33.jpg,125460,4,B,1,,17,,GOOD
258374_03M22.jpg,258374,3,B,1,,6,,GOOD
051283_10M49.jpg,51283,10,W,1,,33,,GOOD
202195_04M42.jpg,202195,4,B,1,,26,,GOOD
180549_02M31.jpg,180549,2,B,1,,15,,GOOD
084381_00M45.jpg,84381,0,B,1,,29,,GOOD
099538_8M54.jpg,99538,8,B,1,,38,,GOOD
122950_02M35.jpg,122950,2,B,1,,19,,GOOD
331899_02M16.jpg,331899,2,B,1,,0,,GOOD
327449_00M23.jpg,327449,0,B,1,,7,,GOOD
071553_0M48.jpg,71553,0,B,1,,32,,GOOD
066415_5M49.jpg,66415,5,B,1,,33,,GOOD
351693_01M35.jpg,351693,1,B,1,,19,,GOOD
321064_00M17.jpg,321064,0,W,1,,1,,GOOD
293455_00M19.jpg,293455,0,B,1,,3,,GOOD
317011_01M31.jpg,317011,1,B,1,,15,,GOOD
221515_06M28.jpg,221515,6,B,1,,12,,GOOD
062276_11M45.jpg,62276,11,B,1,,29,,GOOD
300457_05F38.jpg,300457,5,W,-1,,22,,GOOD
108007_2F37.jpg,108007,2,B,-1,,21,,GOOD
096858_3M50.jpg,96858,3,W,1,,34,,GOOD
296755_01M21.jpg,296755,1,B,1,,5,,GOOD
110825_04M38.jpg,110825,4,B,1,,22,,GOOD
220237_03M36.jpg,220237,3,W,1,,20,,GOOD
057006_5M51.jpg,57006,5,B,1,,35,,GOOD
317120_00M17.jpg,317120,0,H,1,,1,,GOOD
319516_00M27.jpg,319516,0,B,1,,11,,GOOD
131232_6M33.jpg,131232,6,B,1,,17,,GOOD
262158_00M25.jpg,262158,0,B,1,,9,,GOOD
294261_05M38.jpg,294261,5,W,1,,22,,GOOD
325943_08M18.jpg,325943,8,B,1,,2,,GOOD
311204_03M25.jpg,311204,3,B,1,,9,,GOOD
122375_4M35.jpg,122375,4,B,1,,19,,GOOD
123661_0M32.jpg,123661,0,W,1,,16,,GOOD
065115_0F44.jpg,65115,0,B,-1,,28,,GOOD
071802_04M46.jpg,71802,4,B,1,,30,,GOOD
192437_02M31.jpg,192437,2,B,1,,15,,GOOD
352496_01M22.jpg,352496,1,B,1,,6,,GOOD
340588_02M19.jpg,340588,2,W,1,,3,,GOOD
189479_07F34.jpg,189479,7,B,-1,,18,,GOOD
325345_02M19.jpg,325345,2,W,1,,3,,GOOD
081986_02M44.jpg,81986,2,B,1,,28,,GOOD
260710_38M52.jpg,260710,38,W,1,,36,,GOOD
250158_04M45.jpg,250158,4,B,1,,29,,GOOD
282966_02M20.jpg,282966,2,B,1,,4,,GOOD
061570_2M43.jpg,61570,2,W,1,,27,,GOOD
256330_03F36.jpg,256330,3,B,-1,,20,,GOOD
152722_01M41.jpg,152722,1,B,1,,25,,GOOD
324160_01F44.jpg,324160,1,W,-1,,28,,GOOD
285196_01M36.jpg,285196,1,B,1,,20,,GOOD
286210_01M22.jpg,286210,1,B,1,,6,,GOOD
332080_02F30.jpg,332080,2,W,-1,,14,,GOOD
329125_03M18.jpg,329125,3,W,1,,2,,GOOD
137735_05F43.jpg,137735,5,B,-1,,27,,GOOD
272153_01M20.jpg,272153,1,B,1,,4,,GOOD
320808_00M44.jpg,320808,0,W,1,,28,,GOOD
123634_06M43.jpg,123634,6,B,1,,27,,GOOD
069569_03M50.jpg,69569,3,B,1,,34,,GOOD
095164_0M36.jpg,95164,0,B,1,,20,,GOOD
281680_07M22.jpg,281680,7,B,1,,6,,GOOD
109536_04F40.jpg,109536,4,B,-1,,24,,GOOD
305832_00M17.jpg,305832,0,B,1,,1,,GOOD
094420_1M40.jpg,94420,1,W,1,,24,,GOOD
249773_03M39.jpg,249773,3,W,1,,23,,GOOD
215848_00M23.jpg,215848,0,B,1,,7,,GOOD
319594_00M16.jpg,319594,0,B,1,,0,,GOOD
106491_0M35.jpg,106491,0,B,1,,19,,GOOD
056136_00M44.jpg,56136,0,B,1,,28,,GOOD
289402_03M35.jpg,289402,3,B,1,,19,,GOOD
089272_2M47.jpg,89272,2,B,1,,31,,GOOD
332029_02M16.jpg,332029,2,B,1,,0,,GOOD
342521_01F23.jpg,342521,1,B,-1,,7,,GOOD
327136_01M17.jpg,327136,1,B,1,,1,,GOOD
085346_1M42.jpg,85346,1,B,1,,26,,GOOD
307789_00F20.jpg,307789,0,B,-1,,4,,GOOD
331594_01M19.jpg,331594,1,B,1,,3,,GOOD
022610_00M63.jpg,22610,0,B,1,,47,,GOOD
293241_05M25.jpg,293241,5,B,1,,9,,GOOD
306138_01M21.jpg,306138,1,B,1,,5,,GOOD
091806_03M51.jpg,91806,3,B,1,,35,,GOOD
292544_02M17.jpg,292544,2,B,1,,1,,GOOD
268166_00M19.jpg,268166,0,B,1,,3,,GOOD
053429_01M50.jpg,53429,1,B,1,,34,,GOOD
255440_04M23.jpg,255440,4,B,1,,7,,GOOD
235687_02M25.jpg,235687,2,B,1,,9,,GOOD
344804_01M46.jpg,344804,1,B,1,,30,,GOOD
071990_8F37.jpg,71990,8,B,-1,,21,,GOOD
320157_02F25.jpg,320157,2,B,-1,,9,,GOOD
155345_02M53.jpg,155345,2,B,1,,37,,GOOD
092542_3M44.jpg,92542,3,B,1,,28,,GOOD
101314_0M34.jpg,101314,0,B,1,,18,,GOOD
217206_01M25.jpg,217206,1,B,1,,9,,GOOD
091246_12M42.jpg,91246,12,B,1,,26,,GOOD
346989_02F19.jpg,346989,2,B,-1,,3,,GOOD
343177_03M17.jpg,343177,3,B,1,,1,,GOOD
306660_03M19.jpg,306660,3,B,1,,3,,GOOD
257661_01M23.jpg,257661,1,W,1,,7,,GOOD
178193_07M31.jpg,178193,7,B,1,,15,,GOOD
332701_02M16.jpg,332701,2,H,1,,0,,GOOD
323836_00M31.jpg,323836,0,H,1,,15,,GOOD
096349_02F55.jpg,96349,2,B,-1,,39,,GOOD
294214_01M19.jpg,294214,1,B,1,,3,,GOOD
313375_00M22.jpg,313375,0,B,1,,6,,GOOD
230244_06M56.jpg,230244,6,B,1,,40,,GOOD
112112_0M35.jpg,112112,0,W,1,,19,,GOOD
268575_01M21.jpg,268575,1,H,1,,5,,GOOD
300730_00M19.jpg,300730,0,B,1,,3,,GOOD
265742_04M28.jpg,265742,4,W,1,,12,,GOOD
230909_00F36.jpg,230909,0,W,-1,,20,,GOOD
294724_02M48.jpg,294724,2,W,1,,32,,GOOD
325379_00M20.jpg,325379,0,H,1,,4,,GOOD
110170_0F33.jpg,110170,0,B,-1,,17,,GOOD
328886_01M17.jpg,328886,1,H,1,,1,,GOOD
065471_0M39.jpg,65471,0,B,1,,23,,GOOD
044564_1F50.jpg,44564,1,B,-1,,34,,GOOD
307932_05M27.jpg,307932,5,B,1,,11,,GOOD
047835_3M57.jpg,47835,3,B,1,,41,,GOOD
073353_1M38.jpg,73353,1,B,1,,22,,GOOD
170697_00M31.jpg,170697,0,B,1,,15,,GOOD
094382_1M40.jpg,94382,1,B,1,,24,,GOOD
191565_04M34.jpg,191565,4,B,1,,18,,GOOD
137377_4M32.jpg,137377,4,B,1,,16,,GOOD
056309_0M41.jpg,56309,0,B,1,,25,,GOOD
286374_01M28.jpg,286374,1,B,1,,12,,GOOD
066685_1F38.jpg,66685,1,B,-1,,22,,GOOD
274442_00M28.jpg,274442,0,B,1,,12,,GOOD
129154_01F37.jpg,129154,1,B,-1,,21,,GOOD
135100_03M53.jpg,135100,3,B,1,,37,,GOOD
047840_3F56.jpg,47840,3,W,-1,,40,,GOOD
132547_1M38.jpg,132547,1,B,1,,22,,GOOD
209011_00M34.jpg,209011,0,B,1,,18,,GOOD
322851_03M20.jpg,322851,3,B,1,,4,,GOOD
158918_02M34.jpg,158918,2,B,1,,18,,GOOD
307313_07M19.jpg,307313,7,B,1,,3,,GOOD
127969_05M34.jpg,127969,5,B,1,,18,,GOOD
209627_04M26.jpg,209627,4,B,1,,10,,GOOD
196897_12M30.jpg,196897,12,B,1,,14,,GOOD
055696_11F46.jpg,55696,11,B,-1,,30,,GOOD
332235_00M16.jpg,332235,0,B,1,,0,,GOOD
315062_04M18.jpg,315062,4,B,1,,2,,GOOD
201893_01M26.jpg,201893,1,B,1,,10,,GOOD
221775_01M40.jpg,221775,1,B,1,,24,,GOOD
290387_08F31.jpg,290387,8,W,-1,,15,,GOOD
267660_04M22.jpg,267660,4,B,1,,6,,GOOD
319693_02M19.jpg,319693,2,W,1,,3,,GOOD
293000_02M44.jpg,293000,2,B,1,,28,,GOOD
335924_02F29.jpg,335924,2,B,-1,,13,,GOOD
239463_03M26.jpg,239463,3,B,1,,10,,GOOD
166020_01M30.jpg,166020,1,B,1,,14,,GOOD
173557_03M36.jpg,173557,3,B,1,,20,,GOOD
152718_03M36.jpg,152718,3,B,1,,20,,GOOD
125284_2M50.jpg,125284,2,W,1,,34,,GOOD
330478_02F45.jpg,330478,2,B,-1,,29,,GOOD
321159_03F19.jpg,321159,3,W,-1,,3,,GOOD
285530_00M18.jpg,285530,0,B,1,,2,,GOOD
276450_01M22.jpg,276450,1,B,1,,6,,GOOD
125886_2M32.jpg,125886,2,B,1,,16,,GOOD
286636_01M25.jpg,286636,1,B,1,,9,,GOOD
151325_03M32.jpg,151325,3,B,1,,16,,GOOD
190282_03M46.jpg,190282,3,B,1,,30,,GOOD
333039_00M19.jpg,333039,0,W,1,,3,,GOOD
287543_01M19.jpg,287543,1,B,1,,3,,GOOD
280075_01M19.jpg,280075,1,B,1,,3,,GOOD
194712_05F33.jpg,194712,5,B,-1,,17,,GOOD
123634_03M42.jpg,123634,3,B,1,,26,,GOOD
171476_03M31.jpg,171476,3,B,1,,15,,GOOD
314419_00M16.jpg,314419,0,B,1,,0,,GOOD
106305_2M35.jpg,106305,2,W,1,,19,,GOOD
324119_00M25.jpg,324119,0,B,1,,9,,GOOD
338643_00M16.jpg,338643,0,H,1,,0,,GOOD
198025_03M27.jpg,198025,3,B,1,,11,,GOOD
040481_0M53.jpg,40481,0,W,1,,37,,GOOD
307932_06M27.jpg,307932,6,B,1,,11,,GOOD
